eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1932,12,19,6,28,45.0,,-92.5,14.0,,,,35.0,,5.5999999999999996,,
,,1933,1,12,1,17,42.0,,-87.0,11.0,,,,35.0,,5.5999999999999996,,
,,1933,2,10,8,46,1.0,,-68.0,-23.0,,,,110.0,,5.7999999999999998,,
,,1933,2,18,19,45,43.0,,-86.0,16.5,,,,60.0,,5.5999999999999996,,
,,1933,2,23,8,9,12.0,,-71.0,-20.0,,,,40.0,,7.5999999999999996,,
,,1933,4,4,12,9,38.0,,-60.5,17.5,,,,35.0,,5.5999999999999996,,
,,1933,5,6,5,33,30.0,,-83.0,5.5,,,,35.0,,6.5,,
,,1933,5,6,20,30,29.0,,-82.75,5.75,,,,35.0,,6.0,,
,,1933,5,18,4,28,35.0,,-78.5,0.5,,,,60.0,,5.5999999999999996,,
,,1933,5,30,11,43,36.0,,-83.0,8.0,,,,35.0,,5.5999999999999996,,
,,1933,6,10,11,26,59.0,,-86.25,17.25,,,,35.0,,5.5999999999999996,,
,,1933,7,21,7,29,5.0,,-68.5,19.0,,,,100.0,,5.7999999999999998,,
,,1933,7,21,20,6,45.0,,-26.5,-56.5,,,,35.0,,6.5,,
,,1933,7,23,4,13,11.0,,-75.25,-15.75,,,,80.0,,6.0,,
,,1933,8,6,2,54,52.0,,-75.5,-11.0,,,,100.0,,6.5,,
,,1933,8,9,23,2,45.0,,-68.5,-15.5,,,,170.0,,6.2000000000000002,,
,,1933,8,20,22,59,16.0,,-80.0,-13.0,,,,35.0,,5.5999999999999996,,
,,1933,8,28,22,19,40.0,,-25.0,-59.5,,,,35.0,,7.4000000000000004,,
,,1933,8,29,14,52,36.0,,-69.5,-10.9,,,,650.0,,6.5,,
,,1933,9,14,7,59,24.0,,-70.5,-19.0,,,,100.0,,5.2000000000000002,,
,,1933,10,1,2,40,42.0,,-75.25,-7.0,,,,120.0,,6.2000000000000002,,
,,1933,10,2,15,29,21.0,,-81.0,-2.0,,,,35.0,,6.9000000000000004,,
,,1933,10,12,7,12,50.0,,-69.5,-23.0,,,,100.0,,6.2000000000000002,,
,,1933,10,25,23,28,16.0,,-66.700000000000003,-23.0,,,,220.0,,7.0,,
,,1933,10,26,12,7,2.0,,-60.0,-60.0,,,,35.0,,6.7999999999999998,,
,,1933,11,3,4,14,43.0,,-70.5,-22.0,,,,70.0,,5.5,,
,,1933,11,4,8,41,17.0,,-72.0,8.5,,,,35.0,,6.0,,
,,1933,11,14,14,5,9.0,,-69.5,-32.0,,,,110.0,,6.5,,
,,1933,11,21,23,48,38.0,,-83.0,8.0,,,,35.0,,6.0,,
,,1933,12,2,20,5,12.0,,-53.0,-51.0,,,,35.0,,6.5,,
,,1933,12,10,7,49,2.0,,-71.0,-30.0,,,,35.0,,5.5999999999999996,,
,,1933,12,21,4,31,55.0,,-69.0,-31.0,,,,120.0,,6.2000000000000002,,
,,1934,1,9,7,32,32.0,,-63.0,-28.5,,,,630.0,,6.0,,
,,1934,2,24,5,33,30.0,,-86.75,12.75,,,,200.0,,6.0,,
,,1934,3,1,21,45,25.0,,-72.5,-40.0,,,,120.0,,7.0999999999999996,,
,,1934,3,7,22,41,47.0,,-87.75,13.25,,,,35.0,,6.2000000000000002,,
,,1934,3,24,22,52,46.0,,-66.0,-23.0,,,,270.0,,5.7999999999999998,,
,,1934,3,31,3,13,0.0,,-72.0,-28.5,,,,60.0,,5.5,,
